subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;861;1;1;1;1
Ubiquinone synthesis;7;0;1;0;1
Propanoate metabolism;15;1;0;1;0
Starch and sucrose metabolism;10;0;0;0;0
Sphingolipid metabolism;34;0;0;0;0
Fatty acid oxidation;177;0;0;0;0
Glycerophospholipid metabolism;55;0;1;0;1
Oxidative phosphorylation;9;0;0;0;0
Tyrosine metabolism;17;0;0;0;0
Fatty acid biosynthesis;50;0;0;0;0
Cholesterol metabolism;38;0;0;0;0
Exchange/demand reactions;310;0;0;0;0
Miscellaneous;34;0;0;0;0
Heme synthesis;3;0;1;0;1
Pentose phosphate pathway;23;1;0;1;0
Acylglycerides metabolism;13;0;0;0;0
Pool reactions;12;0;0;0;0
Acyl-CoA hydrolysis;61;1;0;1;0
Fatty acid activation (cytosolic);60;1;1;1;1
Glycerolipid metabolism;66;1;1;1;1
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;38;0;0;0;0
Artificial reactions;7;0;1;0;1
Steroid metabolism;14;0;0;0;0
Arachidonic acid metabolism;71;0;0;0;0
Leukotriene metabolism;78;0;0;0;0
Butanoate metabolism;5;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0;1;0;1
Cholesterol biosynthesis 2;5;0;1;0;1
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0;0;0;0
Pyruvate metabolism;22;0;0;0;0
Bile acid biosynthesis;30;0;0;0;0
Androgen metabolism;9;0;1;0;1
Vitamin D metabolism;18;0;1;0;1
Fatty acid biosynthesis (even-chain);30;0;0;0;0
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;0;0;0;0
Fatty acid elongation (odd-chain);13;0;0;0;0
Fatty acid desaturation (even-chain);13;0;0;0;0
Fatty acid desaturation (odd-chain);3;0;0;0;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;35;1;0;1;0
Omega-3 fatty acid metabolism;41;1;0;1;0
Carnitine shuttle (cytosolic);29;0;0;0;0
Carnitine shuttle (mitochondrial);56;0;0;0;0
Carnitine shuttle (endoplasmic reticular);9;0;1;0;1
Fatty acid activation (endoplasmic reticular);56;0;0;0;0
Beta oxidation of even-chain fatty acids (peroxisomal);8;0;0;0;0
Beta oxidation of odd-chain fatty acids (peroxisomal);2;1;0;1;0
Beta oxidation of even-chain fatty acids (mitochondrial);32;1;0;1;0
Beta oxidation of odd-chain fatty acids (mitochondrial);33;0;1;0;1
Valine, leucine, and isoleucine metabolism;8;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);8;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);15;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);16;1;0;1;0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);9;0;0;0;0
Alanine, aspartate and glutamate metabolism;12;1;0;1;0
Glycine, serine and threonine metabolism;17;0;0;0;0
Glutathione metabolism;14;1;0;1;0
Pantothenate and CoA biosynthesis;11;0;1;0;1
Cysteine and methionine metabolism;13;0;0;0;0
Glycolysis / Gluconeogenesis;33;1;0;1;0
Folate metabolism;32;0;0;0;0
Pyrimidine metabolism;49;0;1;0;1
Galactose metabolism;9;0;0;0;0
ROS detoxification;7;0;0;0;0
Nucleotide metabolism;89;0;0;0;0
Amino sugar and nucleotide sugar metabolism;17;0;0;0;0
Porphyrin metabolism;11;0;0;0;0
Nicotinate and nicotinamide metabolism;14;0;0;0;0
Purine metabolism;69;1;0;1;0
Vitamin B6 metabolism;8;1;0;1;0
Sulfur metabolism;3;0;0;0;0
Biopterin metabolism;12;0;0;0;0
Thiamine metabolism;4;0;0;0;0
Fructose and mannose metabolism;13;1;0;1;0
Arginine and proline metabolism;25;0;0;0;0
Beta-alanine metabolism;7;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;1;0;1;0
Protein assembly;6;0;0;0;0
Protein degradation;8;0;0;0;0
Histidine metabolism;6;0;0;0;0
Vitamin E metabolism;29;0;1;0;1
Riboflavin metabolism;5;0;0;0;0
Inositol phosphate metabolism;51;0;0;0;0
Retinol metabolism;46;0;1;0;1
Phenylalanine, tyrosine and tryptophan biosynthesis;47;0;0;0;0
Terpenoid backbone biosynthesis;9;0;1;0;1
Lysine metabolism;21;0;0;0;0
Ether lipid metabolism;8;0;0;0;0
Protein modification;3;0;0;0;0
Tryptophan metabolism;7;0;0;0;0
Vitamin B12 metabolism;4;0;1;0;1
C5-branched dibasic acid metabolism;5;0;0;0;0
Isolated;9;0;0;0;0
Xenobiotics metabolism;41;0;0;0;0
Vitamin A metabolism;5;1;0;1;0
CoA synthesis;2;1;0;1;0
Eicosanoid metabolism;10;0;0;0;0
Drug metabolism;14;0;0;0;0
;3;0;0;0;0
N-glycan metabolism;56;0;0;0;0
Exchange;2;0;0;0;0
Glycosphingolipid metabolism;10;0;0;0;0
Glycosphingolipid biosynthesis-globo series;3;0;0;0;0
Glycosphingolipid biosynthesis-ganglio series;5;0;0;0;0
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0;0;0;0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0;0;0;0
Prostaglandin biosynthesis;16;0;0;0;0
Glucocorticoid biosynthesis;2;0;0;0;0
Estrogen metabolism;51;0;0;0;0
Linoleate metabolism;17;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal);4;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal);2;0;0;0;0
Beta oxidation of phytanic acid (peroxisomal);2;0;0;0;0
Formation and hydrolysis of cholesterol esters;37;0;0;0;0
Serotonin and melatonin biosynthesis;6;0;0;0;0
Pentose and glucuronate interconversions;5;0;0;0;0
Ascorbate and aldarate metabolism;4;0;0;0;0
Lipoic acid metabolism;2;0;0;0;0
Metabolism of other amino acids;2;0;0;0;0
O-glycan metabolism;7;0;0;0;0
Keratan sulfate biosynthesis;57;0;0;0;0
Keratan sulfate degradation;54;0;0;0;0
Chondroitin sulfate degradation;34;0;0;0;0
Heparan sulfate degradation;3;0;0;0;0
Heme degradation;2;0;0;0;0
Phenylalanine metabolism;2;0;0;0;0
