subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;885;0.7453289371914994;0.38099891787433215;0.6484692845396332;0.3886189106410126
Starch and sucrose metabolism;9;0.11490759065831835;0.21602338615538516;0.12461906597158168;0.22064954220283223
Sphingolipid metabolism;18;0.7453289371914994;0.916193489929112;0.7699656774884454;0.9261054065374879
Fatty acid oxidation;166;0.9999995685926775;0.999999988079385;0.9999996883589376;0.99999998948898
Oxidative phosphorylation;8;0.08136111863694258;0.41666094990503827;0.08757196215837477;0.42303018644345464
Fatty acid biosynthesis;45;0.7590025580916557;0.999999988079385;0.7832029387722833;0.99999998948898
Pyrimidine metabolism;41;0.029646963937498178;0.027890108169807415;0.03533468287722626;0.029694897146203547
Cholesterol metabolism;36;0.9999995685926775;0.999999988079385;0.9999996883589376;0.99999998948898
Exchange/demand reactions;244;3.6273984077572763e-06;0.0001812437549131296;4.6799200654756845e-06;0.0001755824644270043
Miscellaneous;23;0.11490759065831835;0.916193489929112;0.12461906597158168;0.9261054065374879
Acylglycerides metabolism;7;0.8701334960059288;0.3792490996264939;0.8818510804497234;0.38532978222542646
Pool reactions;8;0.2984487785074722;0.999999988079385;0.32921864573107085;0.99999998948898
Fatty acid activation (cytosolic);60;3.981076573816855e-06;0.0;4.6799200654756845e-06;0.0
Acyl-CoA hydrolysis;61;4.54780520109388e-06;1.3523682174110263e-10;2.3356404055263624e-06;1.984429287560374e-10
Glycerophospholipid metabolism;31;0.8319243236965073;0.916193489929112;0.8470910885425157;0.9261054065374879
Arachidonic acid metabolism;41;0.9999995685926775;0.999999988079385;0.9999996883589376;0.99999998948898
Leukotriene metabolism;58;0.9999995685926775;0.999999988079385;0.9999996883589376;0.99999998948898
Prostaglandin biosynthesis;8;0.2984487785074722;0.999999988079385;0.32921864573107085;0.99999998948898
Bile acid biosynthesis;16;0.9999995685926775;0.999999988079385;0.9999996883589376;0.99999998948898
Fatty acid biosynthesis (even-chain);30;4.490990912486836e-11;0.3735215197535676;4.6308790135896054e-11;0.380914998246455
Fatty acid elongation (even-chain);21;0.08136111863694258;0.38099891787433215;0.08757196215837477;0.39031963716060947
Fatty acid desaturation (even-chain);13;0.9999995685926775;0.7768320768386868;0.9999996883589376;0.7876399186738633
Fatty acid biosynthesis (unsaturated);33;0.9999995685926775;0.15083643636308425;0.9999996883589376;0.15636882088486992
Carnitine shuttle (mitochondrial);21;0.4113614651742977;0.805672664006455;0.4402764857008912;0.814914012361067
Carnitine shuttle (cytosolic);14;0.6386236599829692;0.999999988079385;0.6484692845396332;0.99999998948898
Beta oxidation of even-chain fatty acids (mitochondrial);28;0.4487242348639086;0.15083643636308425;0.4833488571960512;0.15636882088486992
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);19;0.7453289371914994;0.7768320768386868;0.7699656774884454;0.7876399186738633
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);19;0.9999995685926775;0.916193489929112;0.9999996883589376;0.9261054065374879
Alanine, aspartate and glutamate metabolism;13;0.9999995685926775;0.9660106031734045;0.9999996883589376;0.9720147159355523
Glycine, serine and threonine metabolism;18;0.6252697485421493;0.916193489929112;0.643139673740417;0.9261054065374879
Pyruvate metabolism;19;0.0027878522436627917;0.7768320768386868;0.003276003988181564;0.7876399186738633
Glutathione metabolism;13;0.6309271723936775;0.999999988079385;0.643139673740417;0.99999998948898
