subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;906;6.189442361415054e-08;0.5119889020495035;1.6678117220614297e-09;0.466992025499453
Ubiquinone synthesis;11;0.9999999999999707;3.969542202658044e-06;0.9999999999999833;4.3584483429744605e-06
Starch and sucrose metabolism;11;0.5727351582204897;0.0013040041690743987;0.597663288207513;0.0014004191011522077
Fatty acid oxidation;267;0.9999999999999707;0.1711416993160413;0.9999999999999833;0.15544882302336177
Cholesterol metabolism;32;0.9290793111751563;0.1500388031488319;0.9625647000370677;0.15544882302336177
Glycerophospholipid metabolism;67;0.12789633166712186;0.048348586219209726;0.15019793099409445;0.05224366655249442
Oxidative phosphorylation;11;0.02032376518739786;0.7366327574387737;0.02108921562353156;0.7302385452932241
Fatty acid biosynthesis;41;0.04062584411301441;1.0;0.007722319637400629;1.0
Heme synthesis;3;0.9179585835536845;0.0;0.9405842735488515;0.0
Sphingolipid metabolism;30;0.0014100201585296596;1.0;0.0017152669586412768;1.0
Pentose phosphate pathway;26;0.2714697783777392;0.3231040690320059;0.2952627365998645;0.3384583792556719
Acylglycerides metabolism;21;0.0009409005735749082;1.0;0.0011238413756870752;1.0
Pool reactions;13;0.9999999999999707;1.0;0.9999999999999833;1.0
Acyl-CoA hydrolysis;3;0.04866651491520525;0.47065513100136164;0.05419374732192484;0.466992025499453
Fatty acid activation (cytosolic);68;0.91469706203383;1.2592570861058583e-05;0.9405842735488515;1.5697217281562814e-05
Glycerolipid metabolism;74;0.9999999999999707;1.0;0.9999999999999833;1.0
Inositol phosphate metabolism;56;0.13811526913137484;0.8277505842344081;0.15588343391203205;0.8544868748453334
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0.7697765105727028;0.012380590022155469;0.7969350345481578;0.012855144472356805
Glycosphingolipid biosynthesis-globo series;4;0.9999999999999707;1.0;0.9999999999999833;1.0
Arachidonic acid metabolism;71;0.9999999999999707;1.0;0.9999999999999833;1.0
Exchange/demand reactions;208;0.004475653429158316;0.8194302992474473;0.0065107078387375795;0.7302385452932241
Artificial reactions;7;0.004651651832562033;0.9402190970059277;0.005526615289335596;0.9459804422823896
Steroid metabolism;14;0.9999999999999707;0.8587399801279586;0.9999999999999833;0.8733668416874775
Leukotriene metabolism;71;0.9999999999999707;1.0;0.9999999999999833;1.0
Prostaglandin biosynthesis;24;0.9999999999999707;1.0;0.9999999999999833;1.0
Butanoate metabolism;4;0.5975266424682188;0.17626679186611055;0.6137367442869978;0.18043596451892124
Cholesterol biosynthesis 1 (Bloch pathway) ;19;0.9999999999999707;0.8131031064262975;0.9999999999999833;0.8026239559602091
Cholesterol biosynthesis 2;4;0.9999999999999707;0.022901802596402072;0.9999999999999833;0.023690693246286587
Bile acid biosynthesis;84;0.0024545051188737147;1.0;0.0033409349238347234;1.0
Androgen metabolism;11;0.9999999999999707;0.13780036751719232;0.9999999999999833;0.1433275622485307
