subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;960;1.96996585710707e-09;0.0180035478005395;4.517784294814457e-09;0.02199242108620968
Drug metabolism;53;0.32213793746404606;0.9799788804982746;0.3470535546704026;0.9859028856648413
Bile acid biosynthesis;70;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Propanoate metabolism;12;0.006660654572009789;0.9234240609797496;0.0072134865822156185;0.928301230643199
Fatty acid oxidation;369;0.7362963978494835;0.99999999999992;0.7510783645368115;0.99999999999995
Starch and sucrose metabolism;11;0.01783176273718416;0.640268713188692;0.019100055169757324;0.650663278881655
Sphingolipid metabolism;32;0.9999999999922274;0.18849109991147367;0.9999999999943727;0.20650796270998217
Glycerophospholipid metabolism;55;0.9999999999922274;3.6740687991976273e-07;0.9999999999943727;5.195096283716616e-07
Oxidative phosphorylation;9;0.6624306508128947;0.9854106762094849;0.6773527935211432;0.9859028856648413
Tyrosine metabolism;18;0.229015631459277;0.9854106762094849;0.22635694161652567;0.9859028856648413
Fatty acid biosynthesis;52;0.28852085396024557;0.99999999999992;0.3115238419794358;0.99999999999995
Cholesterol metabolism;37;0.9999999999922274;0.6397126263601757;0.9999999999943727;0.650663278881655
Pyrimidine metabolism;51;0.1037636726307655;0.0013941691619744068;0.01482863410682604;0.00022237862375614387
Heme synthesis;3;0.8463613429741101;0.0;0.8537711783003452;0.0
Pentose phosphate pathway;26;0.020493303288027405;0.9670399988247601;0.021299079535649256;0.9783678004783408
Acylglycerides metabolism;17;0.9999999999922274;5.404707907229568e-06;0.9999999999943727;6.46144906645375e-06
Pool reactions;11;0.4886551343532947;0.9234240609797496;0.5033472040935556;0.928301230643199
Acyl-CoA hydrolysis;61;0.042322085478621596;0.14678871170013627;0.04269144689296456;0.16108975652585944
Fatty acid activation (cytosolic);60;0.036464835987051455;0.2849960916812867;0.03962786384914818;0.31739731086959966
Glycerolipid metabolism;67;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Inositol phosphate metabolism;24;0.9999999999922274;0.15273228135650835;0.9999999999943727;0.16108975652585944
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;38;0.5752429572539538;0.9234240609797496;0.6031081403193944;0.928301230643199
Exchange/demand reactions;219;0.1037636726307655;0.6410669188971171;0.11873955304731146;0.42765491198662625
Artificial reactions;7;0.9999999999922274;0.00038098696307711577;0.9999999999943727;0.0003813908738666985
Steroid metabolism;12;0.9999999999922274;0.9234240609797496;0.9999999999943727;0.928301230643199
Arachidonic acid metabolism;71;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Leukotriene metabolism;86;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Butanoate metabolism;4;0.4939375658548711;0.02105103367454419;0.5033472040935556;0.02199242108620968
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.9999999999922274;0.0;0.9999999999943727;0.0
Cholesterol biosynthesis 2;4;0.9330101939778513;0.0;0.9401827727994838;0.0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Pyruvate metabolism;22;0.22902308506395283;0.640268713188692;0.2285287677194238;0.650663278881655
Bile acid recycling;11;0.229015631459277;0.1176678328483626;0.22462628158448483;0.12101841096019
Androgen metabolism;9;0.9999999999922274;0.040689721434027104;0.9999999999943727;0.04178307101851831
Vitamin D metabolism;19;0.9999999999922274;9.95970667050372e-10;0.9999999999943727;1.2170837254688038e-09
Fatty acid biosynthesis (even-chain);30;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Fatty acid elongation (even-chain);21;0.34389203302289;0.99999999999992;0.36026967567862483;0.99999999999995
Fatty acid biosynthesis (odd-chain);30;0.004715250910205685;0.99999999999992;0.004696593027410378;0.99999999999995
Fatty acid elongation (odd-chain);13;3.7715474250632486e-05;0.99999999999992;4.244719109189332e-05;0.99999999999995
Fatty acid desaturation (even-chain);13;0.04313643282208921;0.9815308598293886;0.04269144689296456;0.9859028856648413
Fatty acid desaturation (odd-chain);3;0.0;0.9234240609797496;0.0;0.928301230643199
Fatty acid biosynthesis (unsaturated);33;0.5455664263325216;0.3947075759838349;0.5690663591246153;0.41737169021729426
Omega-6 fatty acid metabolism;35;0.9999999999922274;0.0006351688020369192;0.9999999999943727;0.0007250342483515818
Omega-3 fatty acid metabolism;57;0.9999999999922274;0.8264848266929428;0.9999999999943727;0.843183399009934
Carnitine shuttle (mitochondrial);86;0.9999999999922274;0.5463011284521214;0.9999999999943727;0.5901380463824387
Carnitine shuttle (cytosolic);45;0.9330101939778513;0.16596803803182605;0.9401827727994838;0.1854352380380657
Carnitine shuttle (endoplasmic reticular);10;0.9999999999922274;0.06909355795197607;0.9999999999943727;0.07119343195178787
Fatty acid activation (endoplasmic reticular);56;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Carnitine shuttle (peroxisomal);3;0.8463613429741101;0.0;0.8537711783003452;0.0
Beta oxidation of even-chain fatty acids (peroxisomal);2;0.7362963978494835;0.835147185996729;0.7510783645368115;0.843183399009934
Beta oxidation of odd-chain fatty acids (peroxisomal);2;0.7362963978494835;0.835147185996729;0.7510783645368115;0.843183399009934
Beta oxidation of even-chain fatty acids (mitochondrial);41;0.22902308506395283;0.04255558801195945;0.2284368281540112;0.046957119874426606
Beta oxidation of odd-chain fatty acids (mitochondrial);33;0.04970399068615265;0.99999999999992;0.050305283004093426;0.99999999999995
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);19;0.4886551343532947;0.00038098696307711577;0.5033472040935556;0.0003850807369346991
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);15;0.2300565603994168;0.06081146392653118;0.2364515941779501;0.06348237861948158
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);5;0.042322085478621596;0.2849960916812867;0.04269144689296456;0.3001397233534748
Beta oxidation of phytanic acid (peroxisomal);7;0.15675259248719925;0.99999999999992;0.1520079997936209;0.99999999999995
Valine, leucine, and isoleucine metabolism;17;0.8463613429741101;0.99999999999992;0.8537711783003452;0.99999999999995
Alanine, aspartate and glutamate metabolism;18;0.03438678747554781;0.835147185996729;0.03458444896375558;0.843183399009934
Arginine and proline metabolism;32;0.9999999999922274;0.99999999999992;0.9999999999943727;0.99999999999995
Glycine, serine and threonine metabolism;19;0.24427853138112285;0.3947075759838349;0.2502238680770365;0.41737169021729426
Glutathione metabolism;17;0.006660654572009789;0.99999999999992;0.0019751382447248203;0.99999999999995
Pantothenate and CoA biosynthesis;15;0.0026380426720202612;0.66136453477593;0.0024975925233122753;0.686610565594184
Cysteine and methionine metabolism;18;0.8666741784408493;0.99999999999992;0.8830824190407918;0.99999999999995
Glycolysis / Gluconeogenesis;31;0.005787546253493981;0.2849960916812867;0.005914329026751597;0.31026513637864706
Folate metabolism;54;0.2300565603994168;0.99999999999992;0.24357564094553616;0.99999999999995
Galactose metabolism;12;0.5455664263325216;0.747316068144667;0.5690663591246153;0.7709874423729451
Miscellaneous;26;0.8463613429741101;0.3947075759838349;0.8537711783003452;0.41737169021729426
ROS detoxification;7;0.034679578515636286;0.9234240609797496;0.03458444896375558;0.928301230643199
Nucleotide metabolism;97;0.01783176273718416;0.9234240609797496;0.020093812701424928;0.928301230643199
Porphyrin metabolism;12;0.006660654572009789;0.9234240609797496;0.0072134865822156185;0.928301230643199
Nicotinate and nicotinamide metabolism;16;0.2853775831547325;0.43026354052267135;0.04269144689296456;0.4419120097157901
Purine metabolism;78;0.00017498875437282901;0.0005495190732075177;7.341056556253722e-05;0.0002962243315501878
Vitamin B6 metabolism;6;0.9999999999922274;0.022559295805920906;0.9999999999943727;0.022853658661403653
Amino sugar and nucleotide sugar metabolism;15;0.2300565603994168;0.9234240609797496;0.09944387261831662;0.928301230643199
Biopterin metabolism;17;0.3414719946799045;0.2726191189557325;0.3563415586410303;0.28987630000720127
Thiamine metabolism;4;0.9330101939778513;0.16151288300402344;0.9401827727994838;0.16770025784102
Fructose and mannose metabolism;11;0.780470186235692;0.03229666786317281;0.7954954192340713;0.033348188559287735
Beta-alanine metabolism;5;0.22902308506395283;0.99999999999992;0.2284368281540112;0.99999999999995
