subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2318;3.7021792024249933e-06;0.48292348442023064;2.660765406226062e-06;0.5431706049615265
Drug metabolism;438;0.1689949273207228;0.00035965215844951937;0.16419454023031532;0.00019075647787181182
Valine, leucine, and isoleucine metabolism;18;0.8877034749777398;1.0;0.8948395707377993;1.0
Propanoate metabolism;10;0.8429104010046868;0.2486779454293623;0.8399000351573198;0.2625470129283391
Tyrosine metabolism;40;0.3138515672600552;0.5641843981839617;0.3257371240917861;0.6051606589140315
Ubiquinone synthesis;8;0.38417731870269395;0.4130834301471688;0.3859200427819278;0.42102430499739213
Phenylalanine metabolism;5;0.8877034749777398;0.9566317033266837;0.8948395707377993;0.9738292196421509
Histidine metabolism;13;0.9364407697040458;0.9991413644669783;0.9432357227228679;1.0
Alanine, aspartate and glutamate metabolism;13;0.07777995507384605;0.07174791723285699;0.08240115301269728;0.07821371736416131
Fatty acid oxidation;1414;1.0;1.0;1.0;1.0
Pentose phosphate pathway;28;0.0034230880030843664;0.15345946204638888;0.0038703765848137066;0.160741317178275
Lysine metabolism;25;0.9711362885582112;1.0;0.9757038953306795;1.0
Purine metabolism;79;0.0006345006054748747;0.016349598395907335;0.0002599555954414523;0.020881909587726948
Starch and sucrose metabolism;9;0.1689949273207228;0.001351727459802943;0.1732710477862096;0.0015220807566930896
Dietary fiber binding;13;0.07777995507384605;0.9991413644669783;0.08240115301269728;1.0
ROS detoxification;9;0.06313795810559658;0.188359072849281;0.0664824763138558;0.19685180007157904
Glycerophospholipid metabolism;55;0.12064388752492745;0.37907702516128744;0.12801508880076484;0.4104965236413544
Sphingolipid metabolism;47;0.8429104010046868;0.17060740859397408;0.8399000351573198;0.18774133479033417
Fatty acid biosynthesis;39;0.6378981269918064;0.05255520550910574;0.6345330611090803;0.059373311863004666
N-glycan metabolism;47;1.0;1.0;1.0;1.0
CoA synthesis;4;0.011053049382315189;0.8979299915340236;0.011585205317941244;0.9098311926982684
Pyrimidine metabolism;46;0.008870716255102305;0.018475438768072807;0.010213244638610381;0.022282609068009693
Steroid metabolism;19;0.23631840409907126;0.838910467375752;0.24174256868811597;0.851250324859664
Acylglycerides metabolism;18;0.4546075235900589;0.002606206458980545;0.4611477861896799;0.0030367486650318258
Pool reactions;48;0.9711362885582112;0.9566317033266837;0.9757038953306795;0.9738292196421509
Acyl-CoA hydrolysis;5;0.8877034749777398;0.5160974505016038;0.14734930379880581;0.5417166146449645
Fatty acid activation (cytosolic);68;0.0021315356952812618;1.5306338418952239e-09;0.0025807520173721345;6.159549315043479e-10
Glycerolipid metabolism;69;3.7021792024249933e-06;3.173782348042664e-10;4.861348662288378e-06;6.159549315043479e-10
Fructose and mannose metabolism;12;0.35760840657960763;0.15452933222799414;0.36131347789070783;0.160741317178275
Glycosphingolipid biosynthesis-globo series;4;0.8429104010046868;0.007736714245184121;0.8399000351573198;0.008308465822609277
Glycosphingolipid metabolism;11;0.6378981269918064;1.0;0.6345330611090803;1.0
Arachidonic acid metabolism;83;1.0;1.0;1.0;1.0
Exchange/demand reactions;481;0.9711362885582112;1.0;0.9757038953306795;1.0
Artificial reactions;19;0.9155546574765231;0.28225285074693557;0.9284908610263224;0.29543631328301395
Bile acid biosynthesis;82;0.7062239735907607;0.048252769174764086;0.7318304395095069;0.05911256281691774
Leukotriene metabolism;65;1.0;0.2486779454293623;1.0;0.2633179449422409
Prostaglandin biosynthesis;63;0.9711362885582112;0.8042620798259317;0.9757038953306795;0.851250324859664
Cholesterol biosynthesis 2;4;0.08098881234369829;0.08057029895195937;0.08278391646942326;0.08756191710367382
Estrogen metabolism;57;1.0;1.0;1.0;1.0
Vitamin D metabolism;25;0.08098881234369829;0.011282287305609831;0.08278391646942326;0.013127573134977075
Fatty acid elongation (even-chain);21;0.966509535888706;1.0;0.9757038953306795;1.0
Fatty acid desaturation (even-chain);4;0.08098881234369829;0.08057029895195937;0.08278391646942326;0.08756191710367382
Fatty acid biosynthesis (unsaturated);33;1.0;0.8979299915340236;1.0;0.9098311926982684
Omega-6 fatty acid metabolism;38;0.9711362885582112;1.0;0.9757038953306795;1.0
Linoleate metabolism;27;1.0;0.13022078929224243;1.0;0.14430540581352966
Omega-3 fatty acid metabolism;58;0.983206344262397;1.0;0.9935718089881895;1.0
Carnitine shuttle (cytosolic);11;0.6378981269918064;0.000979538468838174;0.6345330611090803;0.0011192461478878436
Fatty acid activation (endoplasmic reticular);56;1.0;1.0;1.0;1.0
Carnitine shuttle (mitochondrial);5;0.1476220194385623;0.5160974505016038;0.14734930379880581;0.5417166146449645
