reaction,FC,p,q,enrichment
2H3MVc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2HYOXPLCte,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
5EIPENCm,0.0,1.0,1.0,0
5HPETtd,0.0,1.0,1.0,0
ACNAMt2,0.0,1.0,1.0,0
ADRNCRNt,0.0,1.0,1.0,0
ALAALACNc,0.0,1.0,1.0,0
ALAyLATthc,485.83374662989155,0.0,0.0,1
AMY2e,571.9991531752614,1.5419036084068525e-66,4.388494885465657e-66,1
ARGN1ASPMDte,0.0,1.0,1.0,0
ATVACIDMCTtu,0.0,1.0,1.0,0
BGAL1e,-1.0,0.0,0.0,-1
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BTNt3i,0.0,1.0,1.0,0
BUTt2m,0.0,1.0,1.0,0
BUTt2r,184.5456001694976,1.3071950068083094e-34,3.3677817667016095e-34,1
C04717td,0.0,1.0,1.0,0
C141ACBP,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C14770UPKt,0.0,1.0,1.0,0
C14771UPKt,0.0,1.0,1.0,0
C14STRr,0.0,1.0,1.0,0
C162ACBP,0.0,1.0,1.0,0
C16DCc,0.0,1.0,1.0,0
C16DCtr,0.0,1.0,1.0,0
C181CPT2,-1.0,0.0,0.0,-1
C226CRNt,0.0,1.0,1.0,0
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2Pr,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
CA2t,368.02046859177943,0.0,0.0,1
CAATPS,129.31316182741466,0.0,0.0,1
CE2705t,0.0,1.0,1.0,0
CITtam,723.8188016881684,0.0,0.0,1
CYOOm3i,-724.4022871962808,0.0,0.0,-1
Coqe,0.0,1.0,1.0,0
DACGST,0.0,1.0,1.0,0
DCMPtr,728.3485115881252,0.0,0.0,1
DCSPTN1CRNt,0.0,1.0,1.0,0
DEOXFVShc,0.0,1.0,1.0,0
DESAT14_9,0.0,1.0,1.0,0
DESAT16_2,0.0,1.0,1.0,0
DESAT18_10,0.0,1.0,1.0,0
DESAT18_3,10.162983834832584,0.0,0.0,1
DESAT18_4,0.0,1.0,1.0,0
DESAT18_5,-737.001526427358,6.459252869534608e-33,1.659946908982492e-32,-1
DESAT18_6,0.0,1.0,1.0,0
DESAT18_7,0.0,1.0,1.0,0
DESAT18_8,0.0,1.0,1.0,0
DESAT18_9,-757.5548330072193,0.0,0.0,-1
DESAT20_1,-510.8946650859563,0.0,0.0,-1
DESAT20_2,0.0,1.0,1.0,0
DGTPtm,0.0,1.0,1.0,0
DHCR243r,0.0,1.0,1.0,0
DHCR71r,0.0,1.0,1.0,0
DHCR72r,0.0,1.0,1.0,0
DLNLCGCRNt,0.0,1.0,1.0,0
DMATTx,0.0,1.0,1.0,0
