reaction,FC,p,q,enrichment
10FTHFtm,28.999440840215847,2.806873130175246e-44,4.5802758644691e-44,1
13DAMPPOX,0.0,1.0,1.0,0
2H3MVc,0.0,1.0,1.0,0
2HIVc,0.0,1.0,1.0,0
2HYOXPLCte,0.0,1.0,1.0,0
2M3OVCOAm,0.0,1.0,1.0,0
2MB2COAc,0.0,1.0,1.0,0
34HPLFM,-1.0,0.0,0.0,-1
3DPHBH1,1.0,0.0,0.0,1
3HBCOARc,0.0,1.0,1.0,0
3HPVSCOAhc,0.0,1.0,1.0,0
3HPVSCOAitm,0.0,1.0,1.0,0
3HPVSCOAitx,0.0,1.0,1.0,0
3HPVSTETCOAhcm,0.0,1.0,1.0,0
3HPVSTETCOAhcx,0.0,1.0,1.0,0
3HPVStep,0.0,1.0,1.0,0
4HBZCOAFm,-1.0,0.0,0.0,-1
4HBZFm,-1.0,0.0,0.0,-1
5EIPENCm,0.0,1.0,1.0,0
5FTHFt2,-1.0,0.0,0.0,-1
5HPETtd,0.0,1.0,1.0,0
ACNAMt2,0.0,1.0,1.0,0
ACt2m,37.19423331047417,0.0,0.0,1
ADRNCRNt,23.913566415858202,0.0,0.0,1
ALAyLATthc,413.8530611739142,2.1426069133541175e-71,3.65853101796119e-71,1
AMY2e,-428.35299339908426,0.0,0.0,-1
ARACHCOAtx,87.7020698541062,0.0,0.0,1
ARGN1ASPMDte,0.0,1.0,1.0,0
ATVACIDMCTtu,0.0,1.0,1.0,0
BGAL1e,-1.0,0.0,0.0,-1
BGAL1l,0.0,1.0,1.0,0
BGAL2l,0.0,1.0,1.0,0
BTNt3i,-1.0,0.0,0.0,-1
BUTt2m,0.0,1.0,1.0,0
BUTt2r,588.0953432670938,0.0,0.0,1
C04717td,0.0,1.0,1.0,0
C141ACBP,0.0,1.0,1.0,0
C142ACBP,0.0,1.0,1.0,0
C14770UPKt,0.0,1.0,1.0,0
C14771UPKt,0.0,1.0,1.0,0
C14STRr,0.0,1.0,1.0,0
C161CPT22,211.51445434474326,0.0,0.0,1
C161CRN2t,1.0,0.0,0.0,1
C162ACBP,0.0,1.0,1.0,0
C16DCc,0.0,1.0,1.0,0
C16DCtr,0.0,1.0,1.0,0
C181CPT1,324.8870050704096,0.0,0.0,1
C181CPT2,-1.0,0.0,0.0,-1
C181CPT2rbc,-1.0,0.0,0.0,-1
C226CRNt,94.76659807956713,3.564845795880007e-119,6.482582097126585e-119,1
C3STDH1Pr,0.0,1.0,1.0,0
C3STDH1r,0.0,1.0,1.0,0
C3STKR2r,0.0,1.0,1.0,0
C4STMO1r,0.0,1.0,1.0,0
C4STMO2Pr,0.0,1.0,1.0,0
C4STMO2r,0.0,1.0,1.0,0
C60CPT1,0.0,1.0,1.0,0
CA2t,926.554003208016,0.0,0.0,1
CAATPS,-926.7785815091505,0.0,0.0,-1
CE2705t,0.0,1.0,1.0,0
CITtam,891.1550332032901,0.0,0.0,1
CLS_hs,1.0,0.0,0.0,1
COQ3m,-1.0,0.0,0.0,-1
COQ5m,-1.0,0.0,0.0,-1
COQ6m,-1.0,0.0,0.0,-1
COQ7m,-1.0,0.0,0.0,-1
COUCOAFm,-1.0,0.0,0.0,-1
CYOOm3i,54.16309244514786,0.0,0.0,1
Coqe,-1.0,0.0,0.0,-1
Cov2VBOF,0.0,1.0,1.0,0
DACGST,0.0,1.0,1.0,0
DCMPtr,-945.3728290766228,0.0,0.0,-1
