reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;1;0;1;0.0;0.0
12DHCHOLabc;0;0;0;0;7.194006492833656e-43;0.09821256396925403
12DHCHOLt;0;0;0;0;0.0;8.415378579900736e-281
1A25DHVITD3te;0;1;0;1;0.0;0.0
2HATVACIDteb;0;0;0;0;1.887702540647305e-07;2.9378212645670916e-09
2HATVACIDtep;0;1;0;1;0.0;0.0
2HATVLACteb;0;1;0;1;0.0;5.168355621015377e-288
2HATVLACtep;0;0;0;0;5.966574393646449e-75;0.010446410576148691
3DHCDCHOLabc;0;0;0;0;2.3977184103208062e-48;4.496138875835366e-24
3DHCDCHOLt;0;0;0;0;0.0;0.0
3DHCHOLabc;0;0;0;0;0.0;0.0
3DHCHOLt;0;0;0;0;0.0;0.0
3DHDCAabc;1;0;1;0;0.0;0.0
3DHDCAt;0;0;0;0;0.0;3.888976544091106e-295
3DHLCAabc;0;1;0;1;0.0;0.0
3DHLCAt;1;0;1;0;0.0;0.0
3HPVSTETteb;0;0;0;0;0.0;0.0
3HPVSTETtev;0;0;0;0;2.341609634050941e-143;3.8680682791712786e-136
3HPVSteb;0;1;0;1;0.0;0.0
3HPVStep;1;0;1;0;0.0;0.0
3ISPVSteb;0;0;0;0;0.0;5.492238520505462e-289
3ISPVStep;1;0;1;0;0.0;0.0
4HATVACIDteb;1;0;1;0;0.0;0.0
4HATVACIDtep;0;1;0;1;0.0;0.0
4HATVLACteb;0;0;0;0;5.199113588719506e-244;9.191200795752566e-149
4HATVLACtep;0;0;0;0;0.0;0.0
56DHPVSteb;0;0;0;0;0.0;0.0
56DHPVStev;0;0;0;0;0.0;3.146402127430087e-280
56EPPVSteb;0;1;0;1;0.0;0.0
56EPPVStev;0;0;0;0;2.9887246720862115e-166;2.0580867275419183e-173
6EPSteb;0;0;0;0;2.9887246720862115e-166;2.0580867275419183e-173
6EPVStep;0;0;0;0;3.2132996432268172e-37;0.354562671855091
7DHCDCHOLabc;0;0;0;0;4.30096897166229e-162;5.078358792105869e-166
7DHCDCHOLt;1;0;1;0;0.0;0.0
7DHCHOLabc;1;0;1;0;0.0;0.0
7DHCHOLt;0;0;0;0;1.2598959936338688e-176;9.794955031657446e-24
7DHCHSTEROLtd;0;1;0;1;0.0;0.0
7DHCHSTEROLtr;0;1;0;1;0.0;0.0
7HPVSteb;1;0;1;0;0.0;0.0
7HPVStev;1;0;1;0;0.0;0.0
7KILTCHOLATP;1;0;1;0;0.0;0.0
7KLITCHOLc;0;1;0;1;0.0;1.2041398684416787e-229
ACCOAL;1;0;1;0;0.0;0.0
ACMPGLUTtep;0;0;0;0;8.231562619070804e-143;3.810631713945988e-103
ACMPGLUTthc;1;0;1;0;0.0;0.0
ACMPGLUtep;0;0;0;0;0.0;0.0
ACMPGLUthc;0;0;0;0;4.717999777348269e-168;7.04660262337457e-123
ALDD21;1;0;1;0;0.0;0.0
AMY2e;0;0;0;0;4.0673661049853706e-07;0.015694740727311456
ANDRSTANDRtr;0;1;0;1;0.0;0.0
BGAL1e;0;0;0;0;1.3320113548939218e-98;3.610220900667215e-105
BILDGLCURtr;0;1;0;1;0.0;0.0
BILGLCURtr;0;1;0;1;0.0;0.0
BTNt3i;0;1;0;1;0.0;0.0
C03990ATP;1;0;1;0;0.0;5.503046348897981e-284
C03990t;0;0;0;0;2.4886586861594843e-80;5.55383761191895e-104
C04483t1;0;0;0;0;4.895709182635588e-42;2.0207770325972857e-55
C04483t2;0;0;0;0;6.906883678425181e-293;1.9982791695100157e-266
C05463t1;0;0;0;0;3.5514147594352144e-54;1.6202660273099334e-19
C05463t2;0;0;0;0;2.019928089374405e-157;1.0026852056083249e-67
C05769te;0;1;0;1;0.0;0.0
C05769te3;0;0;0;0;0.0;0.0
C05770te;1;0;1;0;0.0;0.0
C05770te4;1;0;1;0;0.0;0.0
C161CPT22;1;0;1;0;0.0;0.0
C181CPT1;1;0;1;0;0.0;0.0
C226CRNt;1;0;1;0;0.0;0.0
C3DCtr;0;0;0;0;8.198914939495625e-17;7.081301213392076e-16
CA3Sabc;1;0;1;0;0.0;0.0
CA3St;0;1;0;1;0.0;0.0
CDCA24GSc;1;0;1;0;0.0;0.0
CDCA24Gte;1;0;1;0;2.2875689592591868e-236;4.5391812558273594e-70
CDCA3GSc;0;0;0;0;0.0;0.0
CDCA3Gte;0;0;0;0;0.007440421079983119;0.0009323924161907868
CDS;1;0;1;0;0.0;0.0
CE1273t1;1;0;1;0;0.0;0.0
CE1273t2;1;0;1;0;0.0;0.0
CE2510ABCt;0;0;0;0;1.472259770681761e-275;1.2268644327495766e-176
CE2705t;0;1;0;1;0.0;0.0
CITtam;1;0;1;0;0.0;0.0
CLOHtex2;0;1;0;1;0.0;0.0
CLS_hs;0;1;0;1;0.0;0.0
COPROSTabc;0;1;0;1;0.0;0.0
COPROSTt;1;0;1;0;0.0;0.0
CYOOm3i;0;0;0;0;0.0;1.8290920776815354e-308
DACT;1;0;1;0;0.0;0.0
DCA24GSc;1;0;1;0;0.0;0.0
DCA24Gte;0;1;0;1;1.1384954311477255e-280;5.074996253683949e-92
DCA3GSc;1;0;1;0;0.0;0.0
DCA3Gte;1;0;1;0;0.0;0.0
DCA3Sabc;0;0;0;0;0.0;1.1229120568986232e-302
DCA3St;0;0;0;0;1.4396832133592733e-30;5.518824544399595e-49
DCMPtr;0;1;0;1;0.0;0.0
DESAT16_2;1;0;1;0;0.0;0.0
DESAT18_10;1;0;1;0;0.0;0.0
DESAT18_3;0;0;0;0;4.734999398592582e-188;9.542235840653932e-215
DESAT18_4;1;0;1;0;1.48155e-319;6.536340346557302e-241
DESAT18_5;0;0;0;0;4.888287201628844e-90;1.7977258914387676e-59
DESAT18_6;0;0;0;0;1.8160133376511682e-76;2.877696875962772e-70
DESAT18_7;0;1;0;1;0.0;0.0
DESAT18_8;0;0;0;0;0.03668651990018071;0.6392588513359344
DESAT18_9;0;1;0;1;0.0;0.0
DESAT20_1;1;0;1;0;0.0;0.0
DESAT20_2;0;0;0;0;9.447626115941364e-19;9.800193264503202e-08
DGCHOLte;0;0;0;0;2.341609634050941e-143;7.70188104957586e-154
DHCHOLESTANATEATP;0;1;0;1;0.0;0.0
DHCR72r;0;1;0;1;0.0;0.0
DSPVSteb;1;0;1;0;0.0;0.0
DSPVStev;1;0;1;0;0.0;0.0
DTMPKm;0;1;0;1;0.0;2.1129135010633836e-217
DXTRNt;0;0;0;0;0.0;1.7619940924985797e-275
EBP1r;0;0;0;0;3.0416029153301735e-49;9.813439626909618e-42
EBP2r;1;0;1;0;0.0;0.0
ELAIDCPT1;0;0;0;0;1.6879718634353496e-126;2.0900072448937934e-65
ETF;0;1;0;1;0.0;0.0
ETFQO;0;0;0;0;6.312045263903077e-211;6.184617721711283e-180
EX_12HPET[e];0;1;0;1;0.0;0.0
EX_1a25dhvitd3[e];0;1;0;1;0.0;0.0
EX_23cump[e];0;0;0;0;0.0;0.0
EX_3ump[e];0;1;0;1;0.0;0.0
EX_7dhchsterol[e];0;1;0;1;0.0;0.0
EX_7klitchol[e];0;0;0;0;1.10782076548387e-248;8.500067888976197e-243
EX_C02528[e];0;0;0;0;0.0;0.0
EX_C04849[e];0;0;0;0;0.0;0.0
EX_CE0074[e];0;0;0;0;0.0;3.881786146976444e-264
EX_CE2250[e];0;0;0;0;1.905091859937044e-36;3.5351630465515106e-11
EX_CE2510[e];0;0;0;0;5.8668966868176376e-279;9.168205478323e-236
EX_CE2705[e];1;0;1;0;0.0;0.0
EX_HC00955[e];0;0;0;0;3.2132996432268172e-37;1.1786747438895355e-50
EX_HC01577[e];1;0;1;0;0.0;0.0
EX_HC01609[e];0;1;0;1;0.0;0.0
EX_HC01610[e];0;0;0;0;4.0088109597404384e-237;2.831549876510164e-226
EX_HC01700[e];0;1;0;1;0.0;0.0
EX_HC02160[e];1;0;1;0;6.997503846935887e-238;1.5897248413625415e-83
EX_HC02161[e];0;0;0;0;2.2354921635573057e-88;1.9921384899993946e-119
EX_HC02191[e];0;0;0;0;1.0815330549030733e-68;1.763428268904186e-14
EX_HC02194[e];0;0;0;0;6.137868364549176e-194;2.6756891795456992e-101
EX_HC02195[e];0;0;0;0;1.403679115256993e-46;7.216034298403893e-55
EX_HC02196[e];1;0;1;0;0.0;0.0
EX_M00003[e];0;1;0;1;1.7833038105369915e-170;4.899423294824557e-20
EX_M00008[e];1;0;1;0;0.0;1.6181775026537073e-261
EX_M00010[e];0;1;0;1;0.0;2.387284425927993e-133
EX_M00017[e];0;0;0;0;1.6735868838316537e-28;1.2016344640740783e-35
EX_M00019[e];0;0;0;0;1.6735868838316537e-28;1.2016344640740783e-35
EX_M00021[e];0;0;0;0;1.6735868838316537e-28;1.2016344640740783e-35
EX_M00115[e];0;0;0;0;1.6735868838316537e-28;1.2016344640740783e-35
EX_M00117[e];0;0;0;0;6.6180425023484514e-264;1.931241957602292e-248
EX_M00260[e];0;1;0;1;0.0;0.0
EX_M00265[e];1;0;1;0;0.0;0.0
EX_M00315[e];0;0;0;0;1.8676723158866424e-90;2.6634180460337815e-73
EX_M00341[e];1;0;1;0;0.0;0.0
EX_M01197[e];0;1;0;1;2e-323;4.3634564663784694e-253
EX_M01207[e];0;0;0;0;0.0;2.5499574393085283e-280
EX_M01235[e];0;0;0;0;3.148838537366428e-210;1.4588563714611205e-217
EX_M01238[e];0;1;0;1;0.0;0.0
EX_M01582[e];0;0;0;0;5.609609219089332e-124;1.0425131767065013e-38
EX_M02053[e];1;0;1;0;0.0;0.0
EX_M02457[e];0;1;0;1;0.0;0.0
EX_M02613[e];0;1;0;1;0.0;0.0
EX_M02745[e];0;1;0;1;0.0;0.0
EX_M02956[e];0;0;0;0;1.0440904109314479e-72;2.954607896872225e-62
EX_M03045[e];0;0;0;0;2.063503377431644e-13;6.178248312066989e-16
EX_M03051[e];0;0;0;0;0.0;5.728864180009365e-306
EX_M03153[e];1;0;1;0;0.0;0.0
EX_adrn[e];0;1;0;1;0.0;0.0
EX_arach[e];0;0;0;1;3.665726561759023e-22;0.07329304883005591
EX_arachcoa[e];0;0;0;0;0.0;1.0286257475555973e-303
EX_arachd[e];0;0;0;0;1.1672804415756288e-146;3.915365463534169e-141
EX_atp[e];0;1;0;1;0.0;0.0
EX_c3dc[e];0;0;0;0;0.0;0.0
EX_cdca24g[e];0;0;0;0;7.646142179222822e-157;6.402963413167015e-160
EX_cdca3g[e];0;0;0;0;2.30070136934655e-11;1.8129666068296766e-09
EX_clpnd[e];0;0;0;0;3.1684363121503474e-11;2.135220348850059e-09
EX_coa[e];0;0;0;0;2.30070136934655e-11;1.8129666068296766e-09
EX_crvnc[e];0;0;0;0;1.936260845991137e-214;9.987402190012299e-221
EX_dca24g[e];1;0;1;0;0.0;0.0
EX_dca3g[e];0;0;0;0;9.447626115941364e-19;3.387818213735532e-18
EX_dchac[e];0;0;0;0;0.0;3.6079809861186965e-275
EX_dcmp[e];0;0;0;0;9.770169457775818e-57;9.637149027021419e-48
EX_dcsptn1[e];0;0;0;0;9.308827467115931e-51;4.581346049521369e-35
EX_ddca[e];0;0;0;0;1.7759634756394136e-123;3.44861794441756e-137
EX_dgmp[e];1;0;1;0;0.0;0.0
EX_dgtp[e];0;0;0;0;0.0;0.0
EX_dha[e];0;0;0;0;0.0;0.0
EX_dhap[e];0;0;0;0;1.6384760687831783e-85;8.172782293987791e-86
EX_dhcholestanate[e];0;1;0;1;0.0;0.0
EX_dlnlcg[e];0;1;0;1;0.0;0.0
EX_doco13ac[e];0;0;0;0;3.1684363121503474e-11;2.135220348850059e-09
EX_docosac[e];1;0;1;0;0.0;5.618309600366646e-307
EX_dxtrn[e];0;0;0;0;2.30070136934655e-11;1.8129666068296766e-09
EX_eicostet[e];0;0;0;0;3.1684363121503474e-11;2.135220348850059e-09
EX_elaid[e];1;0;1;0;0.0;0.0
EX_fad[e];0;0;0;0;2.1594040282422254e-24;4.39627157129677e-34
EX_fmn[e];1;0;1;0;0.0;0.0
EX_galgluside_hs[e];0;0;0;0;1.2607449518297627e-211;2.0478257415263726e-196
EX_gluside_hs[e];0;0;0;0;7.328035710106736e-105;2.538417069061156e-54
EX_glyc3p[e];0;1;0;1;0.0;0.0
EX_glygn2[e];0;0;0;0;9.049646623905733e-148;6.068528604812432e-150
EX_glygn4[e];0;0;0;0;0.0;0.0
EX_h2co3[e];0;0;0;0;4.160764636523008e-85;5.6149378274901704e-24
EX_hca24g[e];0;0;0;0;1.2806776886966707e-200;3.135255100766623e-244
EX_hca6g[e];0;0;0;0;7.255889590065585e-26;1.2430173614735176e-27
EX_hdca24g[e];0;0;0;0;4.628010851052328e-57;1.0769962795414975e-52
EX_hdca6g[e];1;0;1;0;0.0;0.0
EX_hdca[e];0;1;0;1;0.0;1.473044580455793e-193
EX_hdcea[e];0;0;0;0;3.386691120834604e-267;5.909904567104351e-100
EX_hdd2crn[e];1;0;1;0;0.0;0.0
EX_hexc[e];0;0;0;0;4.235285552827791e-140;1.8531442096896785e-134
EX_hpdca[e];0;0;0;0;8.611731949184231e-07;4.3362164552872826e-07
EX_hyochol[e];0;0;0;0;9.122382117287006e-175;5.314142066955866e-161
EX_lca24g[e];0;0;0;0;4.700546573571236e-28;3.4009921094125945e-22
EX_lca3g[e];0;0;0;0;4.083062641528337e-19;5.364300239110155e-15
EX_lgnc[e];1;0;1;0;0.0;0.0
EX_lneldc[e];0;0;0;0;3.3991357884214036e-33;2.607663330721475e-07
EX_lnlncg[e];0;0;0;0;4.981264940928563e-14;9.550236915566404e-15
EX_malcoa[e];0;0;0;0;2.063503377431644e-13;6.178248312066989e-16
EX_mlthf[e];0;0;0;0;5.860011835732692e-13;0.015544956218402437
EX_nicrnt[e];1;0;1;0;0.0;0.0
EX_nrvnc[e];0;1;0;1;7.134758332533079e-178;5.138251792423863e-21
EX_ocdca[e];0;0;0;0;5.26124635537255e-120;1.968069859551614e-119
EX_ocdcea[e];0;1;0;1;0.0;0.0
EX_pe_hs[e];0;1;0;1;0.0;0.0
EX_phpy;0;1;0;1;0.0;3.679980797233189e-128
EX_ppi[e];0;1;0;1;0.0;0.0
EX_prpp[e];0;0;0;0;0.0;0.0
EX_ptdca[e];1;0;1;0;0.0;0.0
EX_ptrc[e];0;1;0;1;0.0;0.0
EX_sphings[e];1;0;1;0;0.0;0.0
EX_strdnc[e];1;0;1;0;0.0;0.0
EX_sucsal[e];0;1;0;1;0.0;0.0
EX_tag_hs[e];0;0;0;0;0.0;0.0
EX_tethex3[e];0;0;0;0;0.0;0.0
EX_tetpent3[e];1;0;1;0;0.0;0.0
EX_tetpent6[e];0;0;0;0;1.1384954311477255e-280;1.0725672040298158e-263
EX_tettet6[e];0;0;0;0;2.6758203694584487e-19;2.1591809758408237e-21
EX_tmndnc[e];1;0;1;0;0.0;0.0
EX_ttdca[e];0;1;0;1;0.0;0.0
EX_ttdcea[e];0;1;0;1;0.0;3.755268348033866e-165
EX_vacc[e];1;0;1;0;0.0;1.4867641559915812e-194
EX_xol7ah3[e];0;1;0;1;0.0;0.0
EX_xol7aone[e];1;0;1;0;0.0;0.0
EX_xoldiolone[e];1;0;1;0;0.0;0.0
FACOAL191;0;1;0;1;0.0;0.0
FAEL183;0;0;0;0;3.349459484947486e-66;5.459614647976006e-72
FAEL184;1;0;1;0;0.0;0.0
FAEL204;1;0;1;0;0.0;0.0
FAEL205;0;0;0;0;0.0;0.0
FAOXC10C10OHm;0;0;0;0;0.0;1.3295294373704144e-302
FAOXC12C12OHm;1;0;1;0;0.0;0.0
FAOXC14C12m;0;1;0;1;0.0;0.0
FAOXC14C14OHm;0;1;0;1;0.0;0.0
FAOXC150m;1;0;1;0;0.0;0.0
FAOXC16180m;0;1;0;1;0.0;0.0
FAOXC16C14m;1;0;1;0;0.0;0.0
FAOXC170m;0;0;0;0;8.438376309928921e-16;0.0008039188899470121
FAOXC17C15m;0;0;0;0;0.0;0.0
FAOXC180;1;0;1;0;0.0;0.0
FAOXC182806m;0;1;0;1;0.0;0.0
FAOXC183806m;0;0;0;0;0.0;0.0
FAOXC200180m;0;0;0;0;1.326107e-318;9.56808118667735e-250
FAOXC200180x;0;1;0;1;0.0;0.0
FAOXC204;0;0;0;0;0.0;0.0
FAOXC2051843m;1;0;1;0;0.0;0.0
FAOXC226205m;1;0;1;0;0.0;0.0
FAOXC240200x;0;0;0;0;0.0;0.0
FAOXC241181x;1;0;1;0;0.0;0.0
FAOXC2452256x;1;0;1;0;0.0;0.0
FAOXC246226x;1;0;1;0;0.0;0.0
FAOXC260240x;0;1;0;1;0.0;0.0
FAOXC3DC;1;0;1;0;0.0;0.0
FAOXC80;0;1;0;1;0.0;3.348220597707501e-192
FCLTm;0;1;0;1;0.0;0.0
FMNALKPle;1;0;1;0;0.0;0.0
FOLABCCte;1;0;1;0;0.0;0.0
FOLTle;0;0;0;0;1.8875079852210308e-167;1.4010871730307282e-79
G6PDH2c;0;0;0;0;0.0;0.0
GCA3Sabc;0;0;0;0;6.11641057053849e-41;1.9777741101374808e-36
GCA3St;1;0;1;0;0.0;0.0
GCDCA3Sabc;0;0;0;0;0.0;0.0
GCDCA3St;1;0;1;0;0.0;0.0
GDCA3Sabc;1;0;1;0;0.0;0.0
GDCA3St;0;1;0;1;0.0;0.0
GLDBRAN;1;0;1;0;0.0;1.5626473305353918e-285
GLYC3tr;0;1;0;1;0.0;0.0
GNDc;0;0;0;0;3.770552817689062e-107;8.068543168064427e-112
GUDCA3Sabc;0;0;0;0;0.0;2.421090329587558e-289
GUDCA3St;0;0;0;0;3.958546836985287e-55;6.918763074002239e-37
HC02194c;1;0;1;0;0.0;0.0
HC02194te;1;0;1;0;0.0;0.0
HC02195te;0;1;0;1;0.0;0.0
HC02196te;0;1;0;1;0.0;0.0
HC02220t;0;0;0;0;0.0;0.0
HC02220te;0;1;0;1;0.0;0.0
HCA24GSc;0;0;0;0;9.837257996183679e-87;2.7866708423476415e-67
HCA24Gte;0;0;0;0;1.936260845991137e-214;1.2623444035342744e-182
HCA6GSc;0;0;0;0;1.936260845991137e-214;1.2623444035342744e-182
HCA6Gte;0;0;0;0;7.97317624190204e-74;4.988512553686202e-86
HDCA24GSc;1;0;1;0;0.0;0.0
HDCA24Gte;0;1;0;1;0.0;0.0
HDCA6GSc;0;1;0;1;0.0;0.0
HDCA6Gte;1;0;1;0;5.427969445503762e-218;8.368797979188111e-43
HDD2CRNte2;1;0;1;0;0.0;0.0
HMGCOAtx;0;1;0;1;0.0;0.0
HMR_0001;1;0;1;0;1.4658233016852336e-245;1.4884410298319098e-65
HMR_0006;1;0;1;0;1.0662160232900439e-241;9.470866259346417e-64
HMR_0015;0;0;0;0;1.4460245468861982e-216;5.733780749993889e-210
HMR_0025;1;0;1;0;0.0;0.0
HMR_0030;1;0;1;0;0.0;0.0
HMR_0031;1;0;1;0;0.0;0.0
HMR_0032;1;0;1;0;0.0;0.0
HMR_0153;0;1;0;1;1.7293462127393766e-224;6.894259225033243e-49
HMR_0154;0;1;0;1;0.0;0.0
HMR_0155;0;1;0;1;0.0;0.0
HMR_0187;0;1;0;1;0.0;0.0
HMR_0188;1;0;1;0;0.0;0.0
HMR_0189;0;1;0;1;7.134758332533079e-178;4.258812430174472e-22
HMR_0190;0;1;0;1;0.0;0.0
HMR_0191;1;0;1;0;0.0;0.0
HMR_0192;0;0;0;0;0.0;0.0
HMR_0193;1;0;1;0;0.0;0.0
HMR_0195;0;0;0;0;1.014557663741724e-133;4.496894948221669e-121
HMR_0196;0;1;0;1;0.0;0.0
HMR_0197;0;1;0;1;0.0;0.0
HMR_0199;1;0;1;0;0.0;0.0
HMR_0200;0;1;0;1;0.0;2.4111535612493337e-302
HMR_0201;0;1;0;1;0.0;0.0
HMR_0203;0;1;0;1;2.8853073366080674e-142;1.214018118412625e-05
HMR_0204;1;0;1;0;0.0;0.0
HMR_0206;1;0;1;0;7.752435332285988e-209;1.3579816878571807e-53
HMR_0208;0;0;0;0;0.0;3.931953528192514e-285
HMR_0209;1;0;1;0;0.0;0.0
HMR_0210;1;0;1;0;0.0;0.0
HMR_0212;1;0;1;0;0.0;0.0
HMR_0213;0;0;0;0;0.0;0.0
HMR_0214;0;0;0;0;0.0;0.0
HMR_0216;0;0;0;0;0.0;9.598325933456862e-158
HMR_0217;0;1;0;1;0.0;0.0
HMR_0223;0;1;0;1;0.0;0.0
HMR_0225;0;1;0;1;0.0;0.0
HMR_0226;0;0;0;0;2.019928089374405e-157;5.177416408411796e-172
HMR_0230;0;0;0;0;7.194006492833656e-43;6.758839804347546e-32
HMR_0232;0;1;0;1;0.0;0.0
HMR_0233;0;1;0;1;0.0;0.0
HMR_0234;0;1;0;1;0.0;0.0
HMR_0236;0;1;0;1;1.10782076548387e-248;6.83691706459969e-65
